Sym_ID	Env	Time	Clade	Diff
AB	Dark	1	A	0.950884221
AB	Dark	1	A	-1.034753099
AB	Dark	1	A	-0.010976452
AB	Dark	1	A	1.556311621
AB	Dark	1	A	-1.301381762
AB	Light	1	A	-0.399712989
AB	Light	1	A	1.072869763
AB	Light	1	A	0.111565021
AB	Light	1	A	0.462024397
AB	Light	1	A	-1.322434611
AB	Light	1	A	1.472437196
AB	Dark	2	A	-0.032364749
AB	Dark	2	A	-1.951065472
AB	Dark	2	A	1.089430063
AB	Dark	2	A	-0.403198091
AB	Dark	2	A	0.513465137
AB	Dark	2	A	-2.551511548
AB	Light	2	A	-3.168957103
AB	Light	2	A	-0.281984561
AB	Light	2	A	0.175020268
AB	Light	2	A	-3.515955752
AB	Light	2	A	-1.418165072
AB	Light	2	A	-0.532521007
AB	Light	2	A	-2.557599355
AB	Light	2	A	0.218180293
AB	Light	2	A	-4.026781376
AB	Light	2	A	-2.691130748
AB	Dark	1	B	-0.235951215
AB	Dark	1	B	0.228120387
AB	Dark	1	B	0.730212331
AB	Dark	1	B	0.05627013
AB	Dark	1	B	-0.911957696
AB	Light	1	B	0.592087645
AB	Light	1	B	0.862217709
AB	Light	1	B	-0.520100503
AB	Light	1	B	1.728681884
AB	Light	1	B	0.180951857
AB	Light	1	B	1.083234166
AB	Dark	2	B	-0.626917101
AB	Dark	2	B	1.122464149
AB	Dark	2	B	1.460360488
AB	Dark	2	B	1.822089695
AB	Dark	2	B	1.451306732
AB	Dark	2	B	-0.822116775
AB	Light	2	B	-2.53651635
AB	Light	2	B	1.612730668
AB	Light	2	B	2.480539078
AB	Light	2	B	-1.987326736
AB	Light	2	B	1.264904936
AB	Light	2	B	1.459096568
AB	Light	2	B	0.395103255
AB	Light	2	B	-4.183433995
AB	Light	2	B	-2.434452648
AB	Light	2	B	0.369013682
AD	Dark	1	A	0.540783262
AD	Dark	1	A	1.912853684
AD	Dark	1	A	2.15490571
AD	Light	1	A	-1.21461034
AD	Light	1	A	0.140978907
AD	Light	1	A	0.584504184
AD	Light	1	A	0.979201265
AD	Light	1	A	-0.577519865
AD	Light	1	A	1.655879288
AD	Light	1	A	1.486144719
AD	Light	1	A	0.897098824
AD	Light	1	A	2.132150644
AD	Dark	2	A	-1.880375528
AD	Dark	2	A	1.687086233
AD	Dark	2	A	2.101328539
AD	Dark	2	A	0.624968717
AD	Dark	2	A	1.334426729
AD	Dark	2	A	-2.493708285
AD	Dark	2	A	1.371711205
AD	Dark	2	A	1.248971592
AD	Dark	2	A	-0.888113364
AD	Dark	2	A	1.347892256
AD	Dark	2	A	1.985075178
AD	Dark	2	A	2.837672839
AD	Dark	2	A	1.266567542
AD	Light	2	A	-4.384044382
AD	Light	2	A	-1.597581761
AD	Light	2	A	0.933758375
AD	Light	2	A	-0.892361274
AD	Light	2	A	-0.93986264
AD	Light	2	A	-2.22818661
AD	Light	2	A	2.90252196
AD	Light	2	A	-3.29330615
AD	Light	2	A	2.198933537
AD	Light	2	A	2.552544136
AD	Light	2	A	-2.975930974
AD	Light	2	A	1.330037809
AD	Light	2	A	-0.179088409
AD	Light	2	A	2.485972379
AD	Dark	1	D	-0.200196739
AD	Dark	1	D	-1.149023261
AD	Dark	1	D	-0.648009395
AD	Light	1	D	0.686035379
AD	Light	1	D	-0.775757544
AD	Light	1	D	-1.208489779
AD	Light	1	D	1.168116175
AD	Light	1	D	1.969259127
AD	Light	1	D	1.179825383
AD	Light	1	D	0.910700011
AD	Light	1	D	-0.183235275
AD	Light	1	D	0.348627354
AD	Dark	2	D	-0.046710234
AD	Dark	2	D	-0.033642466
AD	Dark	2	D	1.071765902
AD	Dark	2	D	0.316163488
AD	Dark	2	D	2.21805992
AD	Dark	2	D	-1.407879458
AD	Dark	2	D	0.67631238
AD	Dark	2	D	-1.509819496
AD	Dark	2	D	-3.096561399
AD	Dark	2	D	0.954698989
AD	Dark	2	D	2.014412002
AD	Dark	2	D	0.663496475
AD	Dark	2	D	-0.062377399
AD	Light	2	D	-3.100331656
AD	Light	2	D	0.019177829
AD	Light	2	D	0.413740745
AD	Light	2	D	-0.070967559
AD	Light	2	D	-0.808852527
AD	Light	2	D	-0.916996856
AD	Light	2	D	-1.062965927
AD	Light	2	D	-3.606601463
AD	Light	2	D	-4.595035316
AD	Light	2	D	-0.635240476
AD	Light	2	D	-2.814792289
AD	Light	2	D	-2.24257014
AD	Light	2	D	0.611819422
AD	Light	2	D	-3.399494911
BD	Dark	1	B	0.425300495
BD	Dark	1	B	-1.093921535
BD	Dark	1	B	1.426988652
BD	Dark	1	B	-0.200201206
BD	Light	1	B	-1.820265711
BD	Light	1	B	-0.378499903
BD	Light	1	B	-0.261610237
BD	Light	1	B	1.946338606
BD	Light	1	B	1.483629217
BD	Light	1	B	1.047467688
BD	Light	1	B	0.804473232
BD	Light	1	B	2.802181548
BD	Dark	2	B	-1.047269952
BD	Dark	2	B	-0.283613492
BD	Dark	2	B	-0.159873341
BD	Dark	2	B	-0.169729954
BD	Dark	2	B	-1.408720708
BD	Dark	2	B	-0.522983193
BD	Dark	2	B	-1.285212787
BD	Dark	2	B	-0.680115437
BD	Light	2	B	-0.123164279
BD	Light	2	B	-0.293358629
BD	Light	2	B	-1.449262289
BD	Light	2	B	1.295905928
BD	Light	2	B	-3.187023249
BD	Light	2	B	2.552405699
BD	Dark	1	D	-1.56477734
BD	Dark	1	D	-0.503446516
BD	Dark	1	D	0.527410781
BD	Dark	1	D	0.538250201
BD	Light	1	D	-3.185991282
BD	Light	1	D	-2.632055535
BD	Light	1	D	1.785778008
BD	Light	1	D	1.827166525
BD	Light	1	D	0.336994807
BD	Light	1	D	-2.73882351
BD	Light	1	D	1.264815279
BD	Light	1	D	1.384578339
BD	Dark	2	D	-3.130801548
BD	Dark	2	D	-1.669388944
BD	Dark	2	D	-1.85975353
BD	Dark	2	D	-3.842996924
BD	Dark	2	D	-3.903991437
BD	Dark	2	D	-1.429622292
BD	Dark	2	D	-3.728506614
BD	Dark	2	D	1.832256199
BD	Light	2	D	-1.351876569
BD	Light	2	D	0.41123934
BD	Light	2	D	-2.19540664
BD	Light	2	D	0.824553482
BD	Light	2	D	-0.503621252
BD	Light	2	D	0.195378363
