Treatment,Environment,Symbiont,Presence,Frequency
AB,Light,A,Present,18
AB,Light,B,Present,22
AB,Dark,A,Present,20
AB,Dark,B,Present,13
AD,Light,A,Present,24
AD,Light,D,Present,27
AD,Dark,A,Present,23
AD,Dark,D,Present,19
BD,Light,B,Present,16
BD,Light,D,Present,18
BD,Dark,B,Present,13
BD,Dark,D,Present,21
AB,Light,A,Absent,6
AB,Light,B,Absent,2
AB,Dark,A,Absent,2
AB,Dark,B,Absent,9
AD,Light,A,Absent,4
AD,Light,D,Absent,1
AD,Dark,A,Absent,3
AD,Dark,D,Absent,7
BD,Light,B,Absent,4
BD,Light,D,Absent,2
BD,Dark,B,Absent,9
BD,Dark,D,Absent,1
