Plate,Well,Sample,Target,CT,Quantity,log10Q
2,C1,A Stand,A,,2000,3.301029996
2,C2,A Stand,A,32.80340958,2000,3.301029996
3,C1,A Stand,A,33.5791893,2000,3.301029996
3,C2,A Stand,A,,2000,3.301029996
4,B1,A Stand,A,33.70621872,2000,3.301029996
4,B2,A Stand,A,,2000,3.301029996
5,B1,A Stand,A,34.77835083,2000,3.301029996
5,B2,A Stand,A,,2000,3.301029996
6,B1,A Stand,A,32.57746887,2000,3.301029996
6,B2,A Stand,A,33.13140869,2000,3.301029996
7,B1,A Stand,A,33.73680878,2000,3.301029996
7,B2,A Stand,A,,2000,3.301029996
8,B1,A Stand,A,32.11329651,2000,3.301029996
8,B2,A Stand,A,32.16515732,2000,3.301029996
9,B1,A Stand,A,33.77390289,2000,3.301029996
9,B2,A Stand,A,,2000,3.301029996
10,B1,A Stand,A,32.6568222,2000,3.301029996
10,B2,A Stand,A,32.9132843,2000,3.301029996
11,B1,A Stand,A,33.89398956,2000,3.301029996
11,B2,A Stand,A,33.6623497,2000,3.301029996
12,B1,A Stand,A,32.80108643,2000,3.301029996
12,B2,A Stand,A,31.95932961,2000,3.301029996
13,B1,A Stand,A,36.46060944,2000,3.301029996
13,B2,A Stand,A,34.75350571,2000,3.301029996
14,B1,A Stand,A,34.38037109,2000,3.301029996
14,B2,A Stand,A,32.4764061,2000,3.301029996
15,B1,A Stand,A,33.43789291,2000,3.301029996
15,B2,A Stand,A,32.9112587,2000,3.301029996
16,B1,A Stand,A,32.9303627,2000,3.301029996
16,B2,A Stand,A,33.16000748,2000,3.301029996
17,B1,A Stand,A,33.97253036,2000,3.301029996
17,B2,A Stand,A,,2000,3.301029996
18,B1,A Stand,A,33.98507309,2000,3.301029996
18,B2,A Stand,A,33.99354935,2000,3.301029996
19,B1,A Stand,A,34.48332596,2000,3.301029996
19,B2,A Stand,A,,2000,3.301029996
20,B1,A Stand,A,35.18520355,2000,3.301029996
20,B2,A Stand,A,33.19919586,2000,3.301029996
21,B1,A Stand,A,32.1967659,2000,3.301029996
21,B2,A Stand,A,33.25344849,2000,3.301029996
22,B1,A Stand,A,33.53019333,2000,3.301029996
22,B2,A Stand,A,,2000,3.301029996
23,B1,A Stand,A,32.99926376,2000,3.301029996
23,B2,A Stand,A,33.64487076,2000,3.301029996
24,B1,A Stand,A,32.42332077,2000,3.301029996
24,B2,A Stand,A,32.41751099,2000,3.301029996
25,B1,A Stand,A,34.166008,2000,3.301029996
25,B2,A Stand,A,33.10294342,2000,3.301029996
26,B1,A Stand,A,,2000,3.301029996
26,B2,A Stand,A,34.54090881,2000,3.301029996
27,B1,A Stand,A,,2000,3.301029996
27,B2,A Stand,A,32.9148941,2000,3.301029996
28,B1,A Stand,A,31.89598465,2000,3.301029996
28,B2,A Stand,A,32.71567917,2000,3.301029996
29,B1,A Stand,A,32.56475449,2000,3.301029996
29,B2,A Stand,A,33.07154846,2000,3.301029996
30,B1,A Stand,A,33.59165955,2000,3.301029996
30,B2,A Stand,A,32.43726349,2000,3.301029996
31,B1,A Stand,A,,2000,3.301029996
31,B2,A Stand,A,,2000,3.301029996
32,B1,A Stand,A,,2000,3.301029996
32,B2,A Stand,A,32.30503082,2000,3.301029996
33,B1,A Stand,A,,2000,3.301029996
33,B2,A Stand,A,35.46575928,2000,3.301029996
34,B1,A Stand,A,33.24761581,2000,3.301029996
34,B2,A Stand,A,32.69184875,2000,3.301029996
35,B1,A Stand,A,Undetermined,2000,3.301029996
35,B2,A Stand,A,Undetermined,2000,3.301029996
36,B1,A Stand,A,34.80900574,2000,3.301029996
36,B2,A Stand,A,36.34305573,2000,3.301029996
38,B1,A Stand,A,33.32450485,2000,3.301029996
38,B2,A Stand,A,32.7168541,2000,3.301029996
39,B1,A Stand,A,33.01344299,2000,3.301029996
39,B2,A Stand,A,34.2969017,2000,3.301029996
40,B1,A Stand,A,33.70727539,2000,3.301029996
40,B2,A Stand,A,32.46891785,2000,3.301029996
37,B1,A Stand,A,33.19325256,2000,3.301029996
37,B2,A Stand,A,32.22672272,2000,3.301029996
41,B1,A Stand,A,33.59327698,2000,3.301029996
41,B2,A Stand,A,33.20949173,2000,3.301029996
43,B1,A Stand,A,34.24979019,2000,3.301029996
43,B2,A Stand,A,32.94381714,2000,3.301029996
44,B1,A Stand,A,32.99124527,2000,3.301029996
44,B2,A Stand,A,33.50802612,2000,3.301029996
2,C3,B Stand,B,38.97645187,2000,3.301029996
2,C4,B Stand,B,38.42430115,2000,3.301029996
3,C3,B Stand,B,,2000,3.301029996
3,C4,B Stand,B,37.53950882,2000,3.301029996
4,B3,B Stand,B,38.83580017,2000,3.301029996
4,B4,B Stand,B,37.71469116,2000,3.301029996
5,B3,B Stand,B,36.75531769,2000,3.301029996
5,B4,B Stand,B,37.77212524,2000,3.301029996
6,B3,B Stand,B,37.14350128,2000,3.301029996
6,B4,B Stand,B,38.20908737,2000,3.301029996
7,B3,B Stand,B,37.32690048,2000,3.301029996
7,B4,B Stand,B,38.0208931,2000,3.301029996
8,B3,B Stand,B,38.22687912,2000,3.301029996
8,B4,B Stand,B,37.26012802,2000,3.301029996
9,B3,B Stand,B,38.13468933,2000,3.301029996
9,B4,B Stand,B,36.92058182,2000,3.301029996
10,B3,B Stand,B,37.51932907,2000,3.301029996
10,B4,B Stand,B,37.49714279,2000,3.301029996
11,B3,B Stand,B,35.18019104,2000,3.301029996
11,B4,B Stand,B,36.24275589,2000,3.301029996
12,B3,B Stand,B,,2000,3.301029996
12,B4,B Stand,B,37.81461334,2000,3.301029996
13,B3,B Stand,B,Undetermined,2000,3.301029996
13,B4,B Stand,B,Undetermined,2000,3.301029996
14,B3,B Stand,B,37.3446312,2000,3.301029996
14,B4,B Stand,B,37.53794861,2000,3.301029996
15,B3,B Stand,B,38.6832428,2000,3.301029996
15,B4,B Stand,B,38.72842789,2000,3.301029996
16,B3,B Stand,B,37.77232361,2000,3.301029996
16,B4,B Stand,B,37.49583054,2000,3.301029996
17,B3,B Stand,B,39.45977783,2000,3.301029996
17,B4,B Stand,B,38.55792999,2000,3.301029996
18,B3,B Stand,B,37.80771255,2000,3.301029996
18,B4,B Stand,B,,2000,3.301029996
19,B3,B Stand,B,36.46657181,2000,3.301029996
19,B4,B Stand,B,37.12441635,2000,3.301029996
20,B3,B Stand,B,37.89444733,2000,3.301029996
20,B4,B Stand,B,38.72843933,2000,3.301029996
21,B3,B Stand,B,,2000,3.301029996
21,B4,B Stand,B,37.69263077,2000,3.301029996
