Sample,Sym_Num,Sym_ID,Env,Time,Rep
472,1,D,Light,1,1
476,1,D,Light,1,1
478,1,D,Light,1,1
479,1,D,Light,1,1
480,1,D,Light,1,1
482,1,D,Dark,1,1
486,1,D,Dark,1,1
488,1,D,Dark,1,1
489,1,D,Dark,1,1
490,1,D,Dark,1,1
492,2,BD,Light,1,1
496,2,BD,Light,1,1
498,2,BD,Light,1,1
499,2,BD,Light,1,1
500,2,BD,Light,1,1
508,2,BD,Dark,1,1
509,2,BD,Dark,1,1
510,2,BD,Dark,1,1
516,1,B,Light,1,1
518,1,B,Light,1,1
519,1,B,Light,1,1
520,1,B,Light,1,1
526,1,B,Dark,1,1
536,2,AB,Dark,1,1
538,2,AB,Dark,1,1
546,2,AB,Light,1,1
548,2,AB,Light,1,1
550,2,AB,Light,1,1
552,1,A,Light,1,1
556,1,A,Light,1,1
558,1,A,Light,1,1
559,1,A,Light,1,1
560,1,A,Light,1,1
566,1,A,Dark,1,1
568,1,A,Dark,1,1
569,1,A,Dark,1,1
570,1,A,Dark,1,1
572,2,AD,Light,1,1
576,2,AD,Light,1,1
578,2,AD,Light,1,1
579,2,AD,Light,1,1
582,2,AD,Dark,1,1
589,2,AD,Dark,1,1
612,1,D,Light,1,2
616,1,D,Light,1,2
618,1,D,Light,1,2
619,1,D,Light,1,2
620,1,D,Light,1,2
622,1,D,Dark,1,2
629,1,D,Dark,1,2
630,1,D,Dark,1,2
632,2,BD,Light,1,2
636,2,BD,Light,1,2
638,2,BD,Light,1,2
639,2,BD,Light,1,2
640,2,BD,Light,1,2
646,2,BD,Dark,1,2
648,2,BD,Dark,1,2
649,2,BD,Dark,1,2
650,2,BD,Dark,1,2
656,1,B,Light,1,2
658,1,B,Light,1,2
659,1,B,Light,1,2
660,1,B,Light,1,2
666,1,B,Dark,1,2
668,1,B,Dark,1,2
670,1,B,Dark,1,2
672,2,AB,Light,1,2
676,2,AB,Light,1,2
678,2,AB,Light,1,2
679,2,AB,Light,1,2
680,2,AB,Light,1,2
686,2,AB,Dark,1,2
688,2,AB,Dark,1,2
689,2,AB,Dark,1,2
690,2,AB,Dark,1,2
696,1,A,Light,1,2
699,1,A,Light,1,2
700,1,A,Light,1,2
706,1,A,Dark,1,2
708,1,A,Dark,1,2
709,1,A,Dark,1,2
710,1,A,Dark,1,2
712,2,AD,Light,1,2
716,2,AD,Light,1,2
718,2,AD,Light,1,2
719,2,AD,Light,1,2
720,2,AD,Light,1,2
722,2,AD,Dark,1,2
726,2,AD,Dark,1,2
